Rooms,Type,Price,Distance,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
3,h,1250000,7,2,1,249,,,Maribyrnong City Council,Western Metropolitan,6543
3,h,,7,1,2,472,108,1950,Maribyrnong City Council,Western Metropolitan,6543
3,h,,7,1,2,208,,,Maribyrnong City Council,Western Metropolitan,6543
4,h,1340000,7,2,0,297,175,1900,Maribyrnong City Council,Western Metropolitan,6543
2,t,,7,2,2,165,,,Maribyrnong City Council,Western Metropolitan,6543
3,h,865000,7,1,1,189,87,1930,Maribyrnong City Council,Western Metropolitan,6543
3,h,781500,7,1,2,341,132,1950,Maribyrnong City Council,Western Metropolitan,6543
4,h,1401000,7,1,1,306,133,1910,Maribyrnong City Council,Western Metropolitan,6543
2,h,630000,7,2,2,168,121,2000,Maribyrnong City Council,Western Metropolitan,6543
3,h,,7,2,1,301,147,1950,Maribyrnong City Council,Western Metropolitan,6543
5,h,1137500,7,3,4,446,244,1950,Maribyrnong City Council,Western Metropolitan,6543
2,t,,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
4,h,925000,7,1,1,288,,,Maribyrnong City Council,Western Metropolitan,6543
2,u,676000,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
3,h,745000,7,1,1,325,,,Maribyrnong City Council,Western Metropolitan,6543
4,h,1158000,7,1,3,411,96,1910,Maribyrnong City Council,Western Metropolitan,6543
3,h,867000,7,1,1,195,,,Maribyrnong City Council,Western Metropolitan,6543
3,h,955000,7,2,2,206,173,2006,Maribyrnong City Council,Western Metropolitan,6543
3,h,1081000,7,1,1,448,104,1940,Maribyrnong City Council,Western Metropolitan,6543
3,h,725000,7,1,5,558,128,1940,Maribyrnong City Council,Western Metropolitan,6543
2,h,767000,7,1,0,128,80,1920,Maribyrnong City Council,Western Metropolitan,6543
3,h,,7,1,0,349,101,1900,Maribyrnong City Council,Western Metropolitan,6543
2,h,951000,7,1,3,486,,,Maribyrnong City Council,Western Metropolitan,6543
4,h,1028000,7,2,2,431,,,Maribyrnong City Council,Western Metropolitan,6543
2,h,740000,7,1,0,261,,,Maribyrnong City Council,Western Metropolitan,6543
3,h,1450000,7,2,2,542,211,2016,Maribyrnong City Council,Western Metropolitan,6543
3,h,1430000,7,3,2,386,172,1940,Maribyrnong City Council,Western Metropolitan,6543
3,h,1275000,7,1,2,229,128,1910,Maribyrnong City Council,Western Metropolitan,6543
4,h,1606000,7,2,3,455,178,1890,Maribyrnong City Council,Western Metropolitan,6543
4,h,970000,7,1,2,664,,1960,Maribyrnong City Council,Western Metropolitan,6543
3,h,865000,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
2,h,780000,7,1,1,435,114,1950,Maribyrnong City Council,Western Metropolitan,6543
4,h,,7,1,2,360,,1910,Maribyrnong City Council,Western Metropolitan,6543
3,h,670000,7,1,1,463,119,1950,Maribyrnong City Council,Western Metropolitan,6543
3,h,908000,7,2,0,105,,1900,Maribyrnong City Council,Western Metropolitan,6543
3,h,1380000,7,2,2,235,144,1910,Maribyrnong City Council,Western Metropolitan,6543
3,h,966000,7,2,2,456,,1970,Maribyrnong City Council,Western Metropolitan,6543
4,h,,7,1,1,0,,,Maribyrnong City Council,Western Metropolitan,6543
2,u,480500,7,1,1,0,65,1970,Maribyrnong City Council,Western Metropolitan,6543
4,h,1520000,7,2,0,261,160,1910,Maribyrnong City Council,Western Metropolitan,6543
3,h,845000,7,1,2,494,,,Maribyrnong City Council,Western Metropolitan,6543
5,h,1287000,7,2,2,488,213,1930,Maribyrnong City Council,Western Metropolitan,6543
2,h,,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
3,h,980000,7,1,2,463,,,Maribyrnong City Council,Western Metropolitan,6543
3,t,800000,7,2,1,169,150,2007,Maribyrnong City Council,Western Metropolitan,6543
4,h,,7,3,2,583,,2009,Maribyrnong City Council,Western Metropolitan,6543
3,h,1460000,7,1,2,463,119,1900,Maribyrnong City Council,Western Metropolitan,6543
2,t,,7,1,1,91,88,2015,Maribyrnong City Council,Western Metropolitan,6543
3,t,,7,1,1,121,115,2000,Maribyrnong City Council,Western Metropolitan,6543
3,h,840000,7,1,1,470,127,1970,Maribyrnong City Council,Western Metropolitan,6543
3,h,900500,7,1,1,208,100,1970,Maribyrnong City Council,Western Metropolitan,6543
2,h,850000,7,1,1,201,,,Maribyrnong City Council,Western Metropolitan,6543
3,h,940000,7,2,2,171,146,2007,Maribyrnong City Council,Western Metropolitan,6543
1,h,,7,1,0,132,,,Maribyrnong City Council,Western Metropolitan,6543
1,u,380000,9.1,1,1,0,39,1990,Moonee Valley City Council,Western Metropolitan,1543
4,h,1646000,9.1,3,2,757,157,1950,Moonee Valley City Council,Western Metropolitan,1543
4,h,,9.1,2,2,489,142,1940,Moonee Valley City Council,Western Metropolitan,1543
2,u,442000,9.1,1,1,0,,,Moonee Valley City Council,Western Metropolitan,1543
2,u,470000,9.1,1,1,976,71,2000,Moonee Valley City Council,Western Metropolitan,1543
3,h,760000,9.1,1,1,321,,1940,Moonee Valley City Council,Western Metropolitan,1543
4,h,1346000,9.1,2,2,559,204,1995,Moonee Valley City Council,Western Metropolitan,1543
2,h,1300000,9.1,1,5,528,,,Moonee Valley City Council,Western Metropolitan,1543
3,t,935000,9.1,2,2,217,149,2005,Moonee Valley City Council,Western Metropolitan,1543
3,h,1175000,9.1,,,,,,Moonee Valley City Council,Western Metropolitan,1543
3,u,845000,9.1,,,,,,Moonee Valley City Council,Western Metropolitan,1543
4,h,3900000,9.1,4,4,670,375,2010,Moonee Valley City Council,Western Metropolitan,1543
3,u,1160000,9.1,2,1,309,,2007,Moonee Valley City Council,Western Metropolitan,1543
4,h,1150000,9.1,2,2,578,35,2010,Moonee Valley City Council,Western Metropolitan,1543
1,h,1720000,9.1,2,1,676,136,1965,Moonee Valley City Council,Western Metropolitan,1543
2,h,1705000,9.1,1,2,809,131,1980,Moonee Valley City Council,Western Metropolitan,1543
3,h,1190000,9.1,1,1,465,115,1950,Moonee Valley City Council,Western Metropolitan,1543
2,u,380000,9.1,1,1,622,,1970,Moonee Valley City Council,Western Metropolitan,1543
2,h,840000,9.1,1,1,373,,,Moonee Valley City Council,Western Metropolitan,1543
5,h,1740000,9.1,3,2,839,247,1925,Moonee Valley City Council,Western Metropolitan,1543
3,h,1860000,9.1,2,2,311,,,Moonee Valley City Council,Western Metropolitan,1543
3,h,1195000,9.1,2,2,496,,,Moonee Valley City Council,Western Metropolitan,1543
4,h,1200000,9.1,2,2,578,35,2010,Moonee Valley City Council,Western Metropolitan,1543
4,h,,9.1,3,1,701,314,,Moonee Valley City Council,Western Metropolitan,1543
3,h,,9.1,,,,,,Moonee Valley City Council,Western Metropolitan,1543
3,u,726000,9.1,1,1,229,111,1996,Moonee Valley City Council,Western Metropolitan,1543
4,h,1325000,9.1,2,2,674,,,Moonee Valley City Council,Western Metropolitan,1543
3,t,1300000,9.1,3,1,593,205,2016,Moonee Valley City Council,Western Metropolitan,1543
4,h,,9.1,3,2,354,,2005,Moonee Valley City Council,Western Metropolitan,1543
2,u,373000,9.1,1,1,0,,,Moonee Valley City Council,Western Metropolitan,1543
2,h,670000,9.1,1,2,0,103,1990,Moonee Valley City Council,Western Metropolitan,1543
5,h,2400000,9.1,2,2,1315,,,Moonee Valley City Council,Western Metropolitan,1543
4,h,1350000,9.1,2,2,1076,180,1960,Moonee Valley City Council,Western Metropolitan,1543
3,h,,9.5,,,,,,Banyule City Council,Eastern Metropolitan,790
3,t,,9.5,,,,,,Banyule City Council,Eastern Metropolitan,790
3,h,773000,9.5,1,2,626,93,1955,Banyule City Council,Eastern Metropolitan,790
2,h,890000,9.5,,,,,,Banyule City Council,Eastern Metropolitan,790
3,h,885000,9.5,1,1,666,,,Banyule City Council,Eastern Metropolitan,790
3,h,770000,9.5,1,4,762,,1960,Banyule City Council,Eastern Metropolitan,790
3,h,,9.5,1,2,661,110,1955,Banyule City Council,Eastern Metropolitan,790
3,h,676000,9.5,,,,,,Banyule City Council,Eastern Metropolitan,790
2,h,855000,9.5,1,0,693,,,Banyule City Council,Eastern Metropolitan,790
3,h,785000,9.5,,,,,,Banyule City Council,Eastern Metropolitan,790
3,h,645000,9.5,1,2,631,109,1950,Banyule City Council,Eastern Metropolitan,790
2,h,780000,9.5,,,,,,Banyule City Council,Eastern Metropolitan,790
3,h,720000,9.5,2,1,231,145,2012,Banyule City Council,Eastern Metropolitan,790
3,h,625000,9.5,1,2,609,93,1950,Banyule City Council,Eastern Metropolitan,790
3,u,828000,9.5,1,0,641,,,Banyule City Council,Eastern Metropolitan,790
3,u,676000,9.5,1,0,605,,,Banyule City Council,Eastern Metropolitan,790
3,h,1310000,4.5,1,2,456,144,1950,Moreland City Council,Northern Metropolitan,5533
4,h,856000,4.5,2,2,136,151,1997,Moreland City Council,Northern Metropolitan,5533
3,h,,4.5,2,1,350,,,Moreland City Council,Northern Metropolitan,5533
1,u,410000,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
2,h,580000,4.5,1,1,0,65,1975,Moreland City Council,Northern Metropolitan,5533
2,u,675000,4.5,2,1,0,,,Moreland City Council,Northern Metropolitan,5533
3,h,,4.5,1,0,160,223,1970,Moreland City Council,Northern Metropolitan,5533
3,h,1350000,4.5,1,2,407,,,Moreland City Council,Northern Metropolitan,5533
3,t,940000,4.5,1,2,213,116,1995,Moreland City Council,Northern Metropolitan,5533
3,h,930000,4.5,2,2,138,,,Moreland City Council,Northern Metropolitan,5533
3,h,1495000,4.5,1,1,259,130,1920,Moreland City Council,Northern Metropolitan,5533
2,t,,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
4,h,1550000,4.5,2,2,470,191,1940,Moreland City Council,Northern Metropolitan,5533
4,h,1815000,4.5,1,1,233,204,1890,Moreland City Council,Northern Metropolitan,5533
2,h,905500,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
4,h,1625000,4.5,2,2,822,145,1890,Moreland City Council,Northern Metropolitan,5533
3,t,899000,4.5,2,1,116,124,2007,Moreland City Council,Northern Metropolitan,5533
3,h,,4.5,1,1,152,100,1910,Moreland City Council,Northern Metropolitan,5533
2,t,665000,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
3,h,,4.5,1,1,314,,,Moreland City Council,Northern Metropolitan,5533
2,u,435000,4.5,1,1,197,55,2012,Moreland City Council,Northern Metropolitan,5533
2,u,570000,4.5,2,1,0,,,Moreland City Council,Northern Metropolitan,5533
4,h,1900000,4.5,2,1,227,,,Moreland City Council,Northern Metropolitan,5533
2,h,1080000,4.5,1,0,193,101,1890,Moreland City Council,Northern Metropolitan,5533
4,h,1280000,4.5,2,0,161,,,Moreland City Council,Northern Metropolitan,5533
2,u,656000,4.5,1,1,0,79,1960,Moreland City Council,Northern Metropolitan,5533
2,u,570000,4.5,1,2,1188,,2012,Moreland City Council,Northern Metropolitan,5533
4,h,1290000,4.5,2,2,468,,,Moreland City Council,Northern Metropolitan,5533
3,h,,4.5,1,4,698,,,Moreland City Council,Northern Metropolitan,5533
2,u,,4.5,2,1,1769,,,Moreland City Council,Northern Metropolitan,5533
3,h,1170000,4.5,2,0,185,,1998,Moreland City Council,Northern Metropolitan,5533
1,u,370000,4.5,1,1,0,,,Moreland City Council,Northern Metropolitan,5533
2,u,510000,4.5,1,1,0,,,Moreland City Council,Northern Metropolitan,5533
3,h,1574000,4.5,3,2,336,207,2007,Moreland City Council,Northern Metropolitan,5533
2,u,665000,4.5,1,1,0,96,1940,Moreland City Council,Northern Metropolitan,5533
2,u,590000,4.5,2,1,0,71,2014,Moreland City Council,Northern Metropolitan,5533
2,h,1024000,4.5,1,1,148,,,Moreland City Council,Northern Metropolitan,5533
2,h,800000,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
3,h,1125000,4.5,1,2,369,,,Moreland City Council,Northern Metropolitan,5533
2,u,430000,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
4,h,1900000,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
4,h,,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
2,u,390000,4.5,1,1,0,,1970,Moreland City Council,Northern Metropolitan,5533
3,t,800000,4.5,3,2,0,,,Moreland City Council,Northern Metropolitan,5533
3,h,1679000,4.5,2,0,326,118,1920,Moreland City Council,Northern Metropolitan,5533
3,t,1050000,4.5,3,2,87,151,1998,Moreland City Council,Northern Metropolitan,5533
2,u,461000,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
2,h,957000,4.5,1,1,148,,,Moreland City Council,Northern Metropolitan,5533
3,h,825000,4.5,1,1,213,116,1920,Moreland City Council,Northern Metropolitan,5533
2,u,621000,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
3,h,940000,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
3,h,998000,4.5,1,2,104,118,2000,Moreland City Council,Northern Metropolitan,5533
3,t,1010000,4.5,2,1,0,133,2014,Moreland City Council,Northern Metropolitan,5533
2,t,985000,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
3,h,910000,4.5,1,1,231,,1900,Moreland City Council,Northern Metropolitan,5533
3,h,,4.5,2,1,315,153,1930,Moreland City Council,Northern Metropolitan,5533
1,u,330000,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
3,h,1050000,4.5,1,1,279,122,1900,Moreland City Council,Northern Metropolitan,5533
2,u,440000,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
2,u,445000,4.5,1,1,0,,,Moreland City Council,Northern Metropolitan,5533
2,h,970000,4.5,1,1,213,,,Moreland City Council,Northern Metropolitan,5533
2,t,,4.5,1,1,66,80,1980,Moreland City Council,Northern Metropolitan,5533
3,h,1600000,4.5,1,2,812,113,1920,Moreland City Council,Northern Metropolitan,5533
3,h,1325000,4.5,2,2,190,135,1940,Moreland City Council,Northern Metropolitan,5533
3,h,,4.5,1,3,464,,,Moreland City Council,Northern Metropolitan,5533
2,u,480000,4.5,2,1,0,,,Moreland City Council,Northern Metropolitan,5533
2,u,400000,4.5,1,1,0,,,Moreland City Council,Northern Metropolitan,5533
4,t,,4.5,2,1,85,85,2008,Moreland City Council,Northern Metropolitan,5533
3,u,570000,4.5,1,1,0,,,Moreland City Council,Northern Metropolitan,5533
2,t,771000,4.5,2,2,0,,,Moreland City Council,Northern Metropolitan,5533
3,h,,4.5,2,2,182,130,2000,Moreland City Council,Northern Metropolitan,5533
2,t,,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
1,u,290000,4.5,,,,,,Moreland City Council,Northern Metropolitan,5533
3,h,1335000,4.5,1,2,308,113,1930,Moreland City Council,Northern Metropolitan,5533
2,u,420000,4.5,1,1,0,,,Moreland City Council,Northern Metropolitan,5533
3,t,805000,4.5,1,1,0,114,2003,Moreland City Council,Northern Metropolitan,5533
3,t,892000,4.5,2,1,0,,1995,Moreland City Council,Northern Metropolitan,5533
2,h,1005000,3.5,1,0,0,,,Yarra City Council,Northern Metropolitan,438
2,h,1231010,3.5,1,2,225,119,1910,Yarra City Council,Northern Metropolitan,438
2,h,881000,3.5,1,1,172,94,1900,Yarra City Council,Northern Metropolitan,438
2,h,1202500,3.5,1,1,149,77,1900,Yarra City Council,Northern Metropolitan,438
3,h,1435000,3.5,1,0,182,102,1890,Yarra City Council,Northern Metropolitan,438
3,h,368000,14.5,1,2,600,,,Hume City Council,Northern Metropolitan,1889
3,h,415000,14.5,,,,,,Hume City Council,Northern Metropolitan,1889
3,h,455000,14.5,1,1,766,,,Hume City Council,Northern Metropolitan,1889
3,h,520000,14.5,,,,,,Hume City Council,Northern Metropolitan,1889
5,h,,14.5,,,,,,Hume City Council,Northern Metropolitan,1889
3,h,500000,14.5,,,,,,Hume City Council,Northern Metropolitan,1889
3,h,435000,14.5,,,,,,Hume City Council,Northern Metropolitan,1889
3,h,,14.5,1,6,551,,,Hume City Council,Northern Metropolitan,1889
3,u,735000,1.8,1,2,3455,,,Melbourne City Council,Northern Metropolitan,6786
2,h,1460000,1.8,1,0,99,,,Melbourne City Council,Northern Metropolitan,6786
3,u,860000,1.8,2,1,0,109,1994,Melbourne City Council,Northern Metropolitan,6786
3,h,1662000,1.8,1,0,118,,,Melbourne City Council,Northern Metropolitan,6786
3,h,1590000,1.8,2,2,100,106,1900,Melbourne City Council,Northern Metropolitan,6786
2,u,610250,1.8,1,1,0,72,1994,Melbourne City Council,Northern Metropolitan,6786
2,h,720000,1.8,1,1,117,71,1890,Melbourne City Council,Northern Metropolitan,6786
2,h,840000,1.8,1,0,66,81,1900,Melbourne City Council,Northern Metropolitan,6786
3,h,,1.8,2,0,110,143,1880,Melbourne City Council,Northern Metropolitan,6786
2,u,795000,1.8,2,1,0,,,Melbourne City Council,Northern Metropolitan,6786
2,u,705000,1.8,1,1,0,70,2000,Melbourne City Council,Northern Metropolitan,6786
1,u,435000,1.8,1,1,0,,,Melbourne City Council,Northern Metropolitan,6786
2,u,660000,1.8,,,,,,Melbourne City Council,Northern Metropolitan,6786
2,t,872000,1.8,,,,,,Melbourne City Council,Northern Metropolitan,6786
4,h,1630100,1.8,2,0,132,195,1890,Melbourne City Council,Northern Metropolitan,6786
2,u,480000,1.8,1,1,0,,2012,Melbourne City Council,Northern Metropolitan,6786
4,h,1600000,1.8,2,1,635,,,Melbourne City Council,Northern Metropolitan,6786
2,u,500000,1.8,2,1,0,65,2010,Melbourne City Council,Northern Metropolitan,6786
3,h,920000,1.8,1,0,121,,,Melbourne City Council,Northern Metropolitan,6786
2,h,,1.8,1,1,104,75,1880,Melbourne City Council,Northern Metropolitan,6786
3,h,1600000,1.8,3,1,0,192,,Melbourne City Council,Northern Metropolitan,6786
2,h,1010000,1.8,1,0,101,60,1880,Melbourne City Council,Northern Metropolitan,6786
3,u,875000,1.8,1,1,0,,,Melbourne City Council,Northern Metropolitan,6786
2,u,,1.8,2,1,0,,,Melbourne City Council,Northern Metropolitan,6786
2,h,1170000,1.8,1,1,144,81,1890,Melbourne City Council,Northern Metropolitan,6786
4,h,1260000,1.8,1,2,151,,,Melbourne City Council,Northern Metropolitan,6786
2,u,600000,1.8,2,1,0,67,2013,Melbourne City Council,Northern Metropolitan,6786
1,u,310000,1.8,1,1,0,,,Melbourne City Council,Northern Metropolitan,6786
3,h,1550000,1.8,3,1,0,192,,Melbourne City Council,Northern Metropolitan,6786
4,h,2033000,1.8,2,2,123,,,Melbourne City Council,Northern Metropolitan,6786
2,u,,1.8,1,1,0,,,Melbourne City Council,Northern Metropolitan,6786
3,u,1110000,1.8,2,1,0,,,Melbourne City Council,Northern Metropolitan,6786
4,h,2705000,1.8,2,2,0,,,Melbourne City Council,Northern Metropolitan,6786
4,h,1616000,1.8,1,0,152,139,1890,Melbourne City Council,Northern Metropolitan,6786
2,u,585000,1.8,1,1,0,,,Melbourne City Council,Northern Metropolitan,6786
4,h,1162000,1.8,1,0,121,,,Melbourne City Council,Northern Metropolitan,6786
4,h,,1.8,2,0,224,191,1880,Melbourne City Council,Northern Metropolitan,6786
2,u,589000,1.8,1,1,0,63,1999,Melbourne City Council,Northern Metropolitan,6786
4,h,2345000,1.8,1,1,284,,,Melbourne City Council,Northern Metropolitan,6786
2,h,1117000,1.8,1,0,128,92,1890,Melbourne City Council,Northern Metropolitan,6786
2,u,400000,1.8,,,,,,Melbourne City Council,Northern Metropolitan,6786
2,u,600000,1.8,1,1,0,,,Melbourne City Council,Northern Metropolitan,6786
2,h,957000,1.8,1,1,122,,,Melbourne City Council,Northern Metropolitan,6786
2,h,4525000,1.5,2,1,220,279,,Melbourne City Council,Northern Metropolitan,3040
3,h,3520000,1.5,2,3,364,,,Melbourne City Council,Northern Metropolitan,3040
2,u,740000,1.5,0,0,0,,,Melbourne City Council,Northern Metropolitan,3040
1,u,1015000,1.5,1,1,0,,,Melbourne City Council,Northern Metropolitan,3040
2,u,1400000,1.5,2,1,0,,,Melbourne City Council,Northern Metropolitan,3040
1,u,,1.5,1,1,0,,,Melbourne City Council,Northern Metropolitan,3040
2,u,,1.5,2,2,0,,,Melbourne City Council,Northern Metropolitan,3040
3,h,,1.5,2,2,0,,,Melbourne City Council,Northern Metropolitan,3040
1,u,,1.5,1,0,0,50,1940,Melbourne City Council,Northern Metropolitan,3040
3,h,1450000,1.5,,,,,,Melbourne City Council,Northern Metropolitan,3040
2,u,1935000,1.5,2,2,0,150,2010,Melbourne City Council,Northern Metropolitan,3040
4,h,1475000,1.5,1,1,179,,,Melbourne City Council,Northern Metropolitan,3040
3,t,,1.5,2,1,0,147,2006,Melbourne City Council,Northern Metropolitan,3040
1,u,615000,1.5,,,,,,Melbourne City Council,Northern Metropolitan,3040
2,u,700000,1.5,2,1,0,65,1970,Melbourne City Council,Northern Metropolitan,3040
3,u,1155000,1.5,,,,,,Melbourne City Council,Northern Metropolitan,3040
1,u,565000,1.5,1,0,0,,,Melbourne City Council,Northern Metropolitan,3040
2,u,900000,1.5,1,1,0,,,Melbourne City Council,Northern Metropolitan,3040
1,u,630000,1.5,1,1,0,,,Melbourne City Council,Northern Metropolitan,3040
1,u,,1.5,,,,,,Melbourne City Council,Northern Metropolitan,3040
1,u,750000,1.5,1,0,0,46,1930,Melbourne City Council,Northern Metropolitan,3040
2,u,872000,1.5,0,0,0,,,Melbourne City Council,Northern Metropolitan,3040
2,u,765000,1.5,1,1,0,,,Melbourne City Council,Northern Metropolitan,3040
1,u,425000,1.5,,,,,,Melbourne City Council,Northern Metropolitan,3040
3,h,1560000,1.5,,,,,,Melbourne City Council,Northern Metropolitan,3040
3,h,810000,9.8,1,2,613,,,Moonee Valley City Council,Western Metropolitan,588
4,h,1422000,9.8,2,2,505,335,2013,Moonee Valley City Council,Western Metropolitan,588
3,h,,9.8,2,2,699,,,Moonee Valley City Council,Western Metropolitan,588
3,h,1245000,9.8,1,1,64,,,Moonee Valley City Council,Western Metropolitan,588
4,t,1120000,9.8,,,,,,Moonee Valley City Council,Western Metropolitan,588
2,h,1430000,9.8,1,1,711,,,Moonee Valley City Council,Western Metropolitan,588
3,h,,9.8,1,2,473,,,Moonee Valley City Council,Western Metropolitan,588
4,h,1345000,9.8,2,2,740,201,1950,Moonee Valley City Council,Western Metropolitan,588
3,h,,9.8,2,3,736,172,1970,Moonee Valley City Council,Western Metropolitan,588
3,t,800000,9.8,3,2,242,,2013,Moonee Valley City Council,Western Metropolitan,588
3,h,,9.8,,,,,,Moonee Valley City Council,Western Metropolitan,588
3,h,787500,9.8,1,1,556,105,1940,Moonee Valley City Council,Western Metropolitan,588
3,h,685000,9.8,1,2,293,,,Moonee Valley City Council,Western Metropolitan,588
4,t,652500,9.8,2,1,179,160,1995,Moonee Valley City Council,Western Metropolitan,588
5,h,1300000,9.8,2,2,616,184,1950,Moonee Valley City Council,Western Metropolitan,588
3,h,925000,9.8,2,2,544,,,Moonee Valley City Council,Western Metropolitan,588
3,t,730000,9.8,2,2,0,118,2015,Moonee Valley City Council,Western Metropolitan,588
2,u,520000,9.8,1,2,196,,1998,Moonee Valley City Council,Western Metropolitan,588
7,h,1300000,9.8,2,2,614,316,1970,Moonee Valley City Council,Western Metropolitan,588
4,h,,9.8,2,2,584,198,1950,Moonee Valley City Council,Western Metropolitan,588
3,h,810000,9.8,1,2,368,,,Moonee Valley City Council,Western Metropolitan,588
2,t,638500,9.8,,,,,,Moonee Valley City Council,Western Metropolitan,588
3,h,,9.8,3,1,851,187,1940,Moonee Valley City Council,Western Metropolitan,588
3,t,970000,9.8,2,2,356,223,2011,Moonee Valley City Council,Western Metropolitan,588
3,t,,9.8,,,,,,Moonee Valley City Council,Western Metropolitan,588
3,h,1110000,9.8,2,2,470,,1968,Moonee Valley City Council,Western Metropolitan,588
3,h,1115000,9.8,1,1,688,192,1950,Moonee Valley City Council,Western Metropolitan,588
3,h,820000,9.8,1,2,473,,,Moonee Valley City Council,Western Metropolitan,588
3,h,670000,12.4,1,3,587,136,,Hume City Council,Northern Metropolitan,5070
3,t,,12.4,2,0,910,,,Hume City Council,Northern Metropolitan,5070
3,h,645000,12.4,1,4,661,,,Hume City Council,Northern Metropolitan,5070
3,h,687000,12.4,1,0,684,,,Hume City Council,Northern Metropolitan,5070
2,u,333000,12.4,1,1,97,79,1970,Hume City Council,Northern Metropolitan,5070
3,t,455000,12.4,2,1,738,138,2010,Hume City Council,Northern Metropolitan,5070
3,h,,12.4,,,,,,Hume City Council,Northern Metropolitan,5070
2,h,378000,12.4,1,1,215,100,1990,Hume City Council,Northern Metropolitan,5070
3,h,,12.4,1,2,574,93,1960,Hume City Council,Northern Metropolitan,5070
3,h,585000,12.4,1,1,605,103,1960,Hume City Council,Northern Metropolitan,5070
3,h,585000,12.4,,,,,,Hume City Council,Northern Metropolitan,5070
3,h,662000,12.4,2,2,620,,,Hume City Council,Northern Metropolitan,5070
3,h,615000,12.4,1,2,650,112,1950,Hume City Council,Northern Metropolitan,5070
3,t,500000,12.4,,,,,,Hume City Council,Northern Metropolitan,5070
3,h,650000,12.4,1,1,589,,1961,Hume City Council,Northern Metropolitan,5070
3,h,665000,12.4,1,1,726,,,Hume City Council,Northern Metropolitan,5070
3,h,640000,12.4,1,4,592,,,Hume City Council,Northern Metropolitan,5070
3,h,526000,12.4,1,1,404,101,1960,Hume City Council,Northern Metropolitan,5070
3,h,540000,12.4,1,1,614,94,1960,Hume City Council,Northern Metropolitan,5070
4,h,540000,12.4,2,3,254,164,1990,Hume City Council,Northern Metropolitan,5070
2,t,,12.4,,,,,,Hume City Council,Northern Metropolitan,5070
4,h,,12.4,2,2,678,174,1975,Hume City Council,Northern Metropolitan,5070
3,h,625000,12.4,1,2,585,88,1960,Hume City Council,Northern Metropolitan,5070
3,h,681000,12.4,2,4,587,153,1970,Hume City Council,Northern Metropolitan,5070
3,h,690000,12.4,2,2,576,,,Hume City Council,Northern Metropolitan,5070
2,u,,12.4,1,1,167,78,1999,Hume City Council,Northern Metropolitan,5070
3,h,640000,12.4,1,2,720,97,1950,Hume City Council,Northern Metropolitan,5070
3,h,660000,12.4,1,2,622,,1970,Hume City Council,Northern Metropolitan,5070
3,h,783000,12.4,2,1,603,115,1940,Hume City Council,Northern Metropolitan,5070
2,h,,12.4,1,1,584,97,1960,Hume City Council,Northern Metropolitan,5070
4,h,635000,12.4,2,2,567,116,1950,Hume City Council,Northern Metropolitan,5070
3,h,,12.4,1,2,593,593,,Hume City Council,Northern Metropolitan,5070
3,t,550000,12.4,,,,,,Hume City Council,Northern Metropolitan,5070
3,t,553500,12.4,2,1,280,,,Hume City Council,Northern Metropolitan,5070
2,u,460000,12.4,,,,,,Hume City Council,Northern Metropolitan,5070
2,h,619000,12.4,1,2,640,114,1970,Hume City Council,Northern Metropolitan,5070
2,u,,12.4,1,1,249,84,1985,Hume City Council,Northern Metropolitan,5070
3,t,460000,12.4,1,1,314,112,1970,Hume City Council,Northern Metropolitan,5070
4,h,,12.4,1,1,424,155,1996,Hume City Council,Northern Metropolitan,5070
4,h,570500,12.4,2,1,430,,,Hume City Council,Northern Metropolitan,5070
2,t,,12.4,2,1,148,132,2013,Hume City Council,Northern Metropolitan,5070
1,u,288000,12.4,1,1,69,,1960,Hume City Council,Northern Metropolitan,5070
4,h,615000,12.4,2,3,476,,1977,Hume City Council,Northern Metropolitan,5070
3,h,,12.4,1,1,372,,,Hume City Council,Northern Metropolitan,5070
3,t,,12.4,3,2,195,168,2005,Hume City Council,Northern Metropolitan,5070
3,h,751000,12.4,6,2,592,103,1960,Hume City Council,Northern Metropolitan,5070
3,h,609000,12.4,1,4,528,120,1965,Hume City Council,Northern Metropolitan,5070
3,h,605000,12.4,1,2,531,,,Hume City Council,Northern Metropolitan,5070
3,h,691500,12.4,1,1,646,,,Hume City Council,Northern Metropolitan,5070
